name,up greedy,seq,up insertion,up oct_schedule,oct greedy,oct insertion,oct oct_schedule,cp,size
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_8_copies.graphml,1615,1465,272,271,1621,248,294,20,216,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_5_copies.graphml,5383,1433,812,799,5232,806,768,368,207,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x4.graphml,3179,2261,551,536,3384,574,618,167,348,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_8-8-4_copies.graphml,10064,31649,2342,10221,10064,4806,10192,304,4583,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_6-8-4_copies.graphml,10064,24026,1802,10143,10064,3535,10252,386,3467,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,8898,7481,723,2926,8987,1130,3863,190,1095,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB.graphml,827,749,171,186,834,180,177,22,108,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadVis.graphml,29,24,20,20,29,20,20,13,3,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_3_copies.graphml,360,185,87,79,381,83,81,8,36,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,10064,11298,895,6760,10064,1640,8126,151,1615,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two.graphml,618,453,182,169,598,146,165,14,76,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_8_copies.graphml,1331,453,268,233,1270,233,237,88,76,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_10-8_copies.graphml,1116,487,209,230,1084,231,245,46,78,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,581,175,163,133,314,95,68,62,26,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_grpby_gather.graphml,1018,1009,160,180,1043,155,185,11,154,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,5821,4889,531,889,5975,799,1691,216,711,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal.graphml,2801,638,600,537,2546,600,552,154,98,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_8_copies.graphml,743,643,151,137,751,149,141,14,96,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-4_copies.graphml,1977,1653,245,298,1943,244,334,14,244,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_4-8_copies.graphml,5117,4247,386,721,5235,646,1065,32,634,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_6_copies.graphml,1192,883,203,263,1221,187,251,38,140,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh.graphml,627,302,149,173,627,165,183,37,45,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_seq_gather.graphml,1924,445,341,336,1711,327,308,66,74,
