name,up greedy,seq,up insertion,up oct_schedule,oct greedy,oct insertion,oct oct_schedule,cp,size
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_nsm_2x4.graphml,3071,1431,641,657,3064,606,623,195,214,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_6_copies.graphml,2411,1128,409,473,2439,406,436,83,162,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadParset.graphml,12,11,11,11,12,11,11,11,3,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_3-2_copies.graphml,523,222,162,194,427,144,185,93,31,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-3-3_copies.graphml,8839,3936,1320,2534,9194,1581,2405,609,559,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,2279,928,449,488,2331,445,464,191,135,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,10064,14387,4609,10054,10064,5934,10047,743,2068,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_hello.graphml,72,37,34,34,72,34,34,19,5,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_1_copies.graphml,1847,388,375,368,1794,357,381,237,59,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_8_copies.graphml,2654,1238,492,553,2741,483,551,118,184,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila.graphml,1131,444,277,304,1069,221,301,158,66,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_9_copies.graphml,10044,2363,1217,1550,9577,1223,1614,929,355,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_4-5_copies.graphml,828,256,192,199,843,182,204,66,42,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,2279,928,449,488,2331,445,464,191,135,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_12_copies.graphml,4364,1853,596,799,4487,660,869,203,272,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_8x8.graphml,10063,8286,2655,3417,10063,3347,5135,217,1202,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_3_copies.graphml,1306,374,264,271,1306,282,266,227,51,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_cal.graphml,82,25,30,25,82,30,25,14,4,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple.graphml,1171,456,208,226,1195,217,227,26,72,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x8.graphml,10056,4683,1650,2152,10055,1918,2237,371,690,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_12_copies.graphml,4833,2199,751,771,4803,838,791,56,324,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_12_copies.graphml,2032,965,359,374,2055,395,403,26,144,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_12_copies.graphml,1527,647,326,354,1529,353,369,213,96,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_dingo_expanded.graphml,1762,388,219,212,1422,206,204,52,59,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1.graphml,1157,505,212,235,1165,201,257,27,78,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,10064,4652,1490,3499,10064,1894,3553,531,699,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_2x4.graphml,3395,1495,699,763,3429,700,668,405,220,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_4_copies.graphml,1157,376,272,269,1123,254,273,172,56,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_simple.graphml,351,125,87,89,324,95,51,21,22,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-6-9_copies.graphml,10064,20358,6333,10169,10064,8948,10184,1058,2899,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep.graphml,7616,1992,1049,1240,7558,1103,1235,782,281,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_3_copies.graphml,3888,931,717,722,3883,617,705,438,133,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_2_copies.graphml,2648,647,534,584,2500,524,583,334,96,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img.graphml,10050,4587,1472,3376,10058,1884,3313,437,655,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2.graphml,8184,3415,1150,2180,8712,1442,2103,544,499,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,10064,6830,2268,5436,10064,2923,5650,457,983,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_cont_img.graphml,4476,1010,727,699,2890,513,603,407,148,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-8_copies.graphml,7015,2940,945,1596,6874,1090,1739,114,428,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,10064,22859,7226,10097,10064,10000,10150,861,3271,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_std.graphml,2721,1255,557,545,2687,446,496,212,192,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_2-2-2_copies.graphml,2937,1334,590,712,2945,602,712,583,191,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_mk_grpby.graphml,1936,831,389,411,1976,385,428,325,124,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam.graphml,2008,835,363,416,2017,345,383,65,130,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_12-12_copies.graphml,10063,6408,2037,4605,10063,2483,4102,61,906,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,3793,1676,591,769,3850,575,734,320,247,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_dingo.graphml,1762,388,219,212,1422,206,204,52,59,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_8_copies.graphml,3265,1507,543,530,3295,548,545,56,216,
