name,BF,fork_join,width,levels,parallel,size
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_8_copies.graphml,1.2222222222,False,2,13,False,216
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_5_copies.graphml,1.6183574879,False,8,50,False,207
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x4.graphml,1.1954022989,False,2,42,True,348
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_8-8-4_copies.graphml,1.2989308313,False,292,31,False,4583
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_6-8-4_copies.graphml,1.2962215172,False,220,31,False,3467
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,1.4639269406,False,16,19,False,1095
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB.graphml,1.2222222222,False,2,13,False,108
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-6-9_copies.graphml,1.2935494998,False,198,31,False,2899
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadVis.graphml,0.6666666667,False,1,2,False,3
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_3_copies.graphml,0.9166666667,False,1,7,False,36
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,1.4730650155,False,24,20,False,1615
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two.graphml,1.0789473684,False,4,13,False,76
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_8_copies.graphml,1.3289473684,False,9,30,False,76
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_10-8_copies.graphml,1.4743589744,True,11,11,False,78
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,1,False,3,23,True,26
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_grpby_gather.graphml,1.3766233766,False,5,7,False,154
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,1.2644163151,False,64,17,False,711
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_2_copies.graphml,1.5833333333,False,5,50,False,96
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_8_copies.graphml,0.9166666667,False,1,7,False,96
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-4_copies.graphml,1.1639344262,False,4,8,False,244
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_4-8_copies.graphml,1.2050473186,False,8,8,False,634
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_6_copies.graphml,1.1214285714,False,4,13,False,140
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh.graphml,1.4,False,6,11,False,45
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_seq_gather.graphml,1.3108108108,True,4,25,False,74
